month,tenor,quoted,closed
2024-01,Spot,30,13
2024-01,1M,34,14
2024-01,3M,19,8
2024-01,6M,10,5
2024-01,12M+,18,4
2024-02,Spot,35,16
2024-02,1M,37,15
2024-02,3M,20,9
2024-02,6M,12,6
2024-02,12M+,19,4
2024-03,Spot,37,16
2024-03,1M,39,15
2024-03,3M,22,9
2024-03,6M,12,6
2024-03,12M+,20,5
2024-04,Spot,38,15
2024-04,1M,41,15
2024-04,3M,23,9
2024-04,6M,13,5
2024-04,12M+,21,4
2024-05,Spot,42,18
2024-05,1M,41,18
2024-05,3M,24,10
2024-05,6M,13,6
2024-05,12M+,24,5
2024-06,Spot,39,16
2024-06,1M,36,16
2024-06,3M,19,8
2024-06,6M,11,5
2024-06,12M+,18,4
2024-07,Spot,42,19
2024-07,1M,35,18
2024-07,3M,21,10
2024-07,6M,12,7
2024-07,12M+,18,5
2024-08,Spot,39,17
2024-08,1M,35,16
2024-08,3M,19,9
2024-08,6M,11,6
2024-08,12M+,18,5
2024-09,Spot,37,18
2024-09,1M,34,18
2024-09,3M,16,8
2024-09,6M,10,6
2024-09,12M+,14,4
2024-10,Spot,34,17
2024-10,1M,33,17
2024-10,3M,15,9
2024-10,6M,9,5
2024-10,12M+,14,4
2024-11,Spot,32,17
2024-11,1M,31,18
2024-11,3M,13,8
2024-11,6M,8,5
2024-11,12M+,12,5
2024-12,Spot,34,18
2024-12,1M,31,19
2024-12,3M,14,9
2024-12,6M,8,5
2024-12,12M+,15,5
2025-01,Spot,40,21
2025-01,1M,30,20
2025-01,3M,14,10
2025-01,6M,10,7
2025-01,12M+,16,9
2025-02,Spot,43,23
2025-02,1M,31,22
2025-02,3M,18,12
2025-02,6M,12,7
2025-02,12M+,19,9
2025-03,Spot,42,24
2025-03,1M,30,23
2025-03,3M,18,12
2025-03,6M,11,7
2025-03,12M+,16,9
2025-04,Spot,42,26
2025-04,1M,30,26
2025-04,3M,19,14
2025-04,6M,14,9
2025-04,12M+,18,10
2025-05,Spot,46,29
2025-05,1M,31,29
2025-05,3M,20,16
2025-05,6M,13,9
2025-05,12M+,20,11
2025-06,Spot,46,32
2025-06,1M,30,31
2025-06,3M,20,18
2025-06,6M,12,10
2025-06,12M+,10,10
2025-07,Spot,41,28
2025-07,1M,28,26
2025-07,3M,17,15
2025-07,6M,10,8
2025-07,12M+,15,8
2025-08,Spot,39,27
2025-08,1M,25,25
2025-08,3M,18,15
2025-08,6M,8,8
2025-08,12M+,15,9
2025-09,Spot,36,24
2025-09,1M,26,24
2025-09,3M,17,13
2025-09,6M,8,7
2025-09,12M+,14,9
2025-10,Spot,37,25
2025-10,1M,27,25
2025-10,3M,17,14
2025-10,6M,9,7
2025-10,12M+,20,10
2025-11,Spot,36,24
2025-11,1M,25,23
2025-11,3M,17,13
2025-11,6M,9,7
2025-11,12M+,15,9
2025-12,Spot,36,24
2025-12,1M,25,23
2025-12,3M,17,13
2025-12,6M,9,7
2025-12,12M+,15,9
